,0,1,2
0,-0.2179257,0.029232912,-0.10134028
1,-0.061966933,0.13941847,-0.04359398
2,0.17174014,0.111835025,0.18950014
3,-0.08228515,-0.19879492,-0.19163275
4,-0.22634473,0.16223899,0.0496603
5,0.28989783,-0.2309909,-0.17476916
6,0.3289708,-0.034944758,-0.23706368
7,-0.1879563,-0.0115930475,-0.03860163
8,0.24123795,0.11291943,-0.18851894
9,-0.09119004,-0.14713454,0.23680767
10,0.22747174,0.027925065,0.26445386
11,0.28479782,-0.13551573,0.15833627
12,-0.046191603,-0.043434683,-0.04258834
13,0.18605581,-0.08472779,-0.405073
14,-0.04548674,-0.090733655,0.19468945
15,0.19945817,0.26561052,0.12861581
